#
# 100 cosmologies on a sphere of radius 10% around fiducial cosmology
# First line is the fiducial cosmology
#
# omega_b omega_cdm h ln10^10A_s n_s
#
2.234999999999999834e-02 1.199999999999999956e-01 6.800000000000000488e-01 3.044000000000000039e+00 9.649999999999999689e-01
2.373535322301101314e-02 1.251190201676111169e-01 6.427997092424156955e-01 3.124131733089053231e+00 9.403515291715339730e-01
2.280300354931913062e-02 1.091753785632125495e-01 6.984466898910357546e-01 3.117708161323454075e+00 9.539982008650929046e-01
2.058734138130867072e-02 1.198734726800507050e-01 6.826632846531826004e-01 2.894678441905319310e+00 1.000552684117194113e+00
2.128703407007648263e-02 1.250623189190358808e-01 6.306582068249546591e-01 3.114336319932906605e+00 9.528199211762308218e-01
2.243388481636048384e-02 1.120900718395740070e-01 7.086561588409676649e-01 3.226839637909370673e+00 9.495234826600628120e-01
2.352959664694711378e-02 1.248161266732637775e-01 7.248132999851720770e-01 2.982974602094562222e+00 9.367220543826469958e-01
2.152698033497854255e-02 1.267482350910545674e-01 6.555940655677774398e-01 3.080895335373325938e+00 1.026385634703917527e+00
2.189210863874331212e-02 1.104213390488620328e-01 6.482071324903967424e-01 3.050354551296436512e+00 9.342049180774578687e-01
2.137068619555004823e-02 1.204566385256203298e-01 6.363564007558645264e-01 2.852912866214940113e+00 9.627216734370949158e-01
2.180881727900126424e-02 1.201494009196862195e-01 7.103373752608662661e-01 2.844559680422406700e+00 1.018979501700017165e+00
2.230542195529535560e-02 1.239346751691761811e-01 6.908620561916559710e-01 2.760758409421359083e+00 9.676614875650584313e-01
2.162691741425688818e-02 1.166625410885671760e-01 6.194129946676881771e-01 2.996858969039998044e+00 9.638560989351017128e-01
2.234773476201332501e-02 1.189378329737774270e-01 6.851625390638029778e-01 2.779948563593800159e+00 1.011673780522279076e+00
2.309837248971993370e-02 1.285849346027380102e-01 6.481555552536554243e-01 2.924837788909895764e+00 9.707223814265947270e-01
2.078134308090552260e-02 1.214542233965897611e-01 7.185508024191983312e-01 2.967436532721136278e+00 9.967191337642967719e-01
2.227591329340483650e-02 1.198324479242090235e-01 7.084253982646607772e-01 3.044844247946491222e+00 8.774049272486670326e-01
2.429566593975398398e-02 1.152179031078245236e-01 6.835663027368209521e-01 3.098527787525500177e+00 9.437468623137587054e-01
2.044029666666613218e-02 1.202544922706662578e-01 6.676003466997775249e-01 3.009516108648826904e+00 9.193915790621935979e-01
2.207681491528892814e-02 1.266335701874680142e-01 7.217118741841549445e-01 3.095535508422758486e+00 1.015562662254670734e+00
2.287002191613772550e-02 1.186706800673777845e-01 6.881343284705798702e-01 3.007619220297413687e+00 1.056801813617871177e+00
2.141587075449979602e-02 1.163474223529570445e-01 6.631385534819018712e-01 3.293381479242072807e+00 9.649710879915091022e-01
2.026498816454626317e-02 1.211180629027396455e-01 6.930007525887192932e-01 2.978875537870403711e+00 9.460141503588975764e-01
2.182168661965550038e-02 1.234162695306212781e-01 6.648308129562714441e-01 3.316010132034178159e+00 9.767404353501121239e-01
2.229439791874184007e-02 1.272536907953775998e-01 6.708833111817004147e-01 3.269634398709143408e+00 9.898992776280012285e-01
2.185775895617066492e-02 1.298688434038691442e-01 7.112498821453451248e-01 3.079794173291630077e+00 9.866051760627805312e-01
2.113020970523791717e-02 1.262394943594234431e-01 6.980037335606252835e-01 3.066815653200876124e+00 1.022582729937117296e+00
2.187209053105752810e-02 1.087182467067926150e-01 6.869039895633767268e-01 3.076865799834350490e+00 9.437619706611105608e-01
2.093364006983707698e-02 1.174979574848047659e-01 6.887018355580825091e-01 3.224362143572627293e+00 1.006782998908253290e+00
2.210311847783034273e-02 1.281163961582999777e-01 6.396761476155411463e-01 3.119819709382152251e+00 9.979572493900784602e-01
2.052875941468035662e-02 1.149812111790885216e-01 6.711209079039728298e-01 3.058116676157015768e+00 1.001346515624650824e+00
2.120726683748706126e-02 1.201011867127800559e-01 6.720145876493278658e-01 2.827247779226289559e+00 1.010023860958321640e+00
2.301561415475352271e-02 1.180752312349047373e-01 6.644427947488248387e-01 3.243710569039522262e+00 9.037549573380537771e-01
2.065703824614212661e-02 1.176049764721414093e-01 6.492702742077121059e-01 3.113549171456808207e+00 9.302103968282763313e-01
2.216663708264558427e-02 1.184912261592885874e-01 6.162338178342969819e-01 2.949006127155186174e+00 9.675914310024587017e-01
2.258890750815481172e-02 1.182851175201324045e-01 6.163301663720262002e-01 3.132457391598993723e+00 9.569214988597973814e-01
2.041260592636605017e-02 1.230620471353957440e-01 6.990853774565999323e-01 3.069857487770009552e+00 9.348707771628875784e-01
2.422104931274918910e-02 1.226170530354521726e-01 6.761719031901095578e-01 3.190175487173195545e+00 9.521130490760487675e-01
2.350128576977007430e-02 1.221905297414537794e-01 6.303394530746621038e-01 2.967183479012998504e+00 9.961664702914936331e-01
2.192576775453244919e-02 1.280133079033163590e-01 6.783835458709568389e-01 2.928201711929782736e+00 9.060823356407730067e-01
2.231419170598583981e-02 1.257421553419533766e-01 6.675391669015416918e-01 3.158449608380009543e+00 8.905119479415368744e-01
2.120588271039640718e-02 1.173405954588388894e-01 7.069227268584088453e-01 2.876535078878028617e+00 1.011221164084346036e+00
2.193357936055974691e-02 1.173216983314324252e-01 6.617777897276714283e-01 2.909198474244860222e+00 1.042654077086438313e+00
2.240233091371868213e-02 1.284357868561960825e-01 6.682512339117577804e-01 2.942062717550129936e+00 1.023162529022323408e+00
2.387024715829789631e-02 1.203197687710563929e-01 6.336465795324930372e-01 3.108427438500038775e+00 9.809003267298351814e-01
2.330194971287493505e-02 1.118215777516619047e-01 6.792158128698169151e-01 3.089605760665276701e+00 9.094378408703892580e-01
2.453761500206621746e-02 1.221563177944911122e-01 6.772696120611479964e-01 3.017324161180917841e+00 9.631398586541091156e-01
2.295837551700417520e-02 1.209365713376083923e-01 6.809875349709806347e-01 3.236883816578250972e+00 8.955409598596471010e-01
2.109998485871687410e-02 1.181778898582286075e-01 6.332724572839141253e-01 3.033467067639150638e+00 9.228550157472328319e-01
2.248310639599838262e-02 1.265528188237687035e-01 6.479461506075362420e-01 3.028918189012654860e+00 1.031410553255091678e+00
2.072087905165377608e-02 1.196027352497467666e-01 6.588778744993313286e-01 2.906257629110691632e+00 1.004357903231643423e+00
2.165389993943329233e-02 1.149986092851868896e-01 7.054899687683398035e-01 2.878003750189760179e+00 1.017091885134856266e+00
2.361973272027365761e-02 1.192695491234578298e-01 6.330315260211789585e-01 3.112715540833064676e+00 9.281907137069507208e-01
2.365501915813311706e-02 1.165351749173864637e-01 6.365384881249444016e-01 3.021928951672321784e+00 9.261673827739846931e-01
2.127523860413503207e-02 1.154307579307806697e-01 6.341990561720780573e-01 3.060479942086350214e+00 1.004456491008999919e+00
2.204420389775066727e-02 1.114301932002519507e-01 6.642766986279193819e-01 3.238119206018002405e+00 9.751799969559947767e-01
2.268150889705471823e-02 1.125594577242180622e-01 6.562719555568438112e-01 3.157064423581334989e+00 1.020754950502871461e+00
2.071265905158113305e-02 1.200158620132487919e-01 6.595375693731108102e-01 2.996634227708106391e+00 9.080286671640198648e-01
2.366549640470989521e-02 1.222989908197123776e-01 6.486182044955544068e-01 3.120472766926554176e+00 9.086679778937718499e-01
2.039506896504144143e-02 1.238981637309937572e-01 6.562625123705478902e-01 3.055505600830997537e+00 9.725410418866731188e-01
2.247795344380801308e-02 1.252447247773714467e-01 6.999386972351613334e-01 3.179212266359750849e+00 1.034748727371836763e+00
2.284147129081629327e-02 1.123004341220460445e-01 6.448741708393903593e-01 2.921787002886398810e+00 9.972852949115645904e-01
2.367525967246376234e-02 1.198272606138654356e-01 6.636359019641108192e-01 2.960345556359857078e+00 8.957644936849183948e-01
2.161002955720660659e-02 1.291206506001919829e-01 6.810606258076636887e-01 3.187599839536263691e+00 9.360639994723192192e-01
2.141761282087733392e-02 1.257483698472270095e-01 7.241110914745294558e-01 3.044110381208002369e+00 1.005448580159806315e+00
2.266132363771030875e-02 1.294394946947668712e-01 7.108717473194036129e-01 3.163814239333704759e+00 9.676933747520254370e-01
2.361555835328375819e-02 1.119631960955792815e-01 7.038541269510850684e-01 3.111156890184362922e+00 9.415420052242891025e-01
